reference_code,candidate_dois_json,doi_links_json,lookup_status,training_molecules,record_ids_json
1983UCH/MAJ,[],[],possible bibliographic match only; verify primary reference,4,"[""rdr250199#csvline2682"",""rdr250199#csvline3996"",""rdr250199#csvline4022"",""rdr250199#csvline5781""]"
1989VOR/KLY,[],[],possible bibliographic match only; verify primary reference,4,"[""rdr250199#csvline1196"",""rdr250199#csvline1218"",""rdr250199#csvline3309"",""rdr250199#csvline3333""]"
1901KAH,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline3856"",""rdr250199#csvline4586"",""rdr250199#csvline6436""]"
1967HAL/LEE,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline4000"",""rdr250199#csvline4001"",""rdr250199#csvline4002"",""rdr250199#csvline4026"",""rdr250199#csvline4027"",""rdr250199#csvline4028"",""rdr250199#csvline6947"",""rdr250199#csvline6948"",""rdr250199#csvline6949"",""rdr250199#csvline6950""]"
1970COU/FEN,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1149"",""rdr250199#csvline1150"",""rdr250199#csvline1151"",""rdr250199#csvline3135"",""rdr250199#csvline3136"",""rdr250199#csvline3137"",""rdr250199#csvline4407"",""rdr250199#csvline4408"",""rdr250199#csvline4409"",""rdr250199#csvline4410""]"
1970HOW/WAD,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1561"",""rdr250199#csvline3852"",""rdr250199#csvline860"",""rdr250199#csvline864""]"
1971KUS/WAD,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline1960"",""rdr250199#csvline3256"",""rdr250199#csvline4493""]"
1975FEN/HAR,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline4354"",""rdr250199#csvline4384"",""rdr250199#csvline6945""]"
1977SVO/VES,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline2767"",""rdr250199#csvline2768"",""rdr250199#csvline2769"",""rdr250199#csvline2770"",""rdr250199#csvline2771"",""rdr250199#csvline4078"",""rdr250199#csvline4079"",""rdr250199#csvline4080"",""rdr250199#csvline4081"",""rdr250199#csvline4123"",""rdr250199#csvline4124"",""rdr250199#csvline4125"",""rdr250199#csvline4126""]"
1979MAJ/SVO2,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline3348"",""rdr250199#csvline3349"",""rdr250199#csvline3350"",""rdr250199#csvline3351"",""rdr250199#csvline3352"",""rdr250199#csvline5973"",""rdr250199#csvline5974"",""rdr250199#csvline5975"",""rdr250199#csvline6444"",""rdr250199#csvline6445"",""rdr250199#csvline6446"",""rdr250199#csvline6447"",""rdr250199#csvline6448""]"
1979SUN/SVE2,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline2684"",""rdr250199#csvline4106"",""rdr250199#csvline7519""]"
1981HOS/SCO3,[],[],possible bibliographic match only; verify primary reference,3,"[""rdr250199#csvline8273"",""rdr250199#csvline8274"",""rdr250199#csvline8275"",""rdr250199#csvline8276"",""rdr250199#csvline8277"",""rdr250199#csvline8278"",""rdr250199#csvline8296"",""rdr250199#csvline8297"",""rdr250199#csvline8298"",""rdr250199#csvline8299"",""rdr250199#csvline8300"",""rdr250199#csvline8301"",""rdr250199#csvline9409"",""rdr250199#csvline9410"",""rdr250199#csvline9411"",""rdr250199#csvline9412"",""rdr250199#csvline9413"",""rdr250199#csvline9414""]"
